file,rows
01_core/amendments.csv,24132
01_core/committees.csv,2000
01_core/departments.csv,11
01_core/field_provenance.csv,168924
01_core/references.csv,24132
01_core/sectors.csv,38
01_core/standard_families.csv,17155
01_core/standards.csv,24132
01_core/standards_raw.csv,24132
02_compliance/certification.csv,24132
02_compliance/compliance_sources.csv,2
02_compliance/qco.csv,24132
02_compliance/temporal_rules.csv,24132
03_knowledge_graph/entities.csv,41287
03_knowledge_graph/graph_paths.csv,17155
03_knowledge_graph/relationships.csv,24132
04_procurement/procurement_entities.csv,5000
04_procurement/requirement_standard_labels.csv,5000
04_procurement/requirements.csv,5000
04_procurement/tenders.csv,5000
05_retrieval/bm25_documents.csv,24132
05_retrieval/embedding_metadata.csv,24132
05_retrieval/reranker_pairs.csv,3000
05_retrieval/retrieval_corpus.csv,24132
05_retrieval/retrieval_metadata.csv,24132
06_multilingual/multilingual_queries.csv,9000
06_multilingual/terminology.csv,14705
06_multilingual/translations.csv,1000
07_explainability/confidence.csv,5000
07_explainability/decision_traces.csv,5000
07_explainability/recommendation_evidence.csv,5000
08_validation/conflicts.csv,180
08_validation/expert_validation.csv,24132
08_validation/validation_log.csv,24132
09_evaluation/benchmark.csv,2000
09_evaluation/gold_labels.csv,2000
09_evaluation/robustness_benchmark.csv,3000
10_synthetic/synthetic_candidates.csv,10000
10_synthetic/synthetic_pairs.csv,5000
10_synthetic/synthetic_queries.csv,5000
10_synthetic/synthetic_tenders.csv,5000
11_quality/dataset_statistics.csv,9
11_quality/duplicate_report.csv,180
11_quality/qa_results.csv,2
